PoleID,STA,Rail EL,MW Height,CW Height,PreSag,Deviation Angle
1,162297,0,24,20,-0.096875,0
2,162452,0,23.5,19.25,-0.1,0
3,162612,0,23.5,18.5,-0.083125,0
4,162745,0,22.5,18.5,-0.09375,0
5,162895,0,22.5,18.5,-0.108125,0
6,163068,0,22.5,18.5,-0.11875,0
7,163258,0,22.5,18.5,-0.11875,0
8,163448,0,22.5,18.5,-0.11875,0
9,163638,0,22.5,18.5,-0.11875,0
10,163828,0,22.25,18.25,-0.11625,0
11,164014,0,21.75,17.75,-0.10625,0
12,164184,0,21.25,17.25,-0.086363636,0
13,164374,0,20.75,16.75,-0.086363636,0
14,164564,0,20.25,16.25,-0.086818182,0
15,164755,0,19.75,15.75,-0.087272727,0
16,164947,0,19.25,15.25,-0.059090909,0
17,165077,0,18,15,-0.059090909,0
18,165207,0,17.25,14.75,-0.059090909,0
19,165337,0,16.5,14.5,-0.059090909,0
20,165467,0,16.5,14.5,-0.057272727,0
21,165593,0,16.5,14.5,-0.037272727,0
22,165675,0,15.75,14.5,-0.041111111,0
23,165749,0,15.75,14.5,-0.066666667,0
24,165869,0,16.5,14.5,-0.066111111,0
25,165988,0,16.5,14.5,-0.066666667,0
26,166108,0,16.5,14.5,-0.066111111,0
27,166227,0,15.75,14.5,-0.032222222,0
28,166285,0,15.5,14.5,-0.052222222,0
29,166379,0,17,14.5,-0.052777778,0
30,166474,0,17.5,14.5,-0.028888889,0
31,166526,0,17.5,14.58333333,-0.085555556,0
32,166680,0,19,14.83333333,-0.075,0
33,166815,0,20,15,-0.091666667,0
34,166980,0,20,15.75,-0.1,0
35,167160,0,21,17,0,0
