,Stationing,Rise (in),type,cable
0,163828.0,0.0,DiffMIN,DiffMIN
1,163829.0,0.0,DiffMIN,DiffMIN
2,163830.0,0.0,DiffMIN,DiffMIN
3,163831.0,0.0,DiffMIN,DiffMIN
4,163832.0,0.0,DiffMIN,DiffMIN
5,163833.0,0.0,DiffMIN,DiffMIN
6,163834.0,0.0,DiffMIN,DiffMIN
7,163835.0,0.0,DiffMIN,DiffMIN
8,163836.0,0.0,DiffMIN,DiffMIN
9,163837.0,0.0,DiffMIN,DiffMIN
10,163838.0,0.0,DiffMIN,DiffMIN
11,163839.0,0.0,DiffMIN,DiffMIN
12,163840.0,0.0,DiffMIN,DiffMIN
13,163841.0,0.0,DiffMIN,DiffMIN
14,163842.0,0.0,DiffMIN,DiffMIN
15,163843.0,0.0,DiffMIN,DiffMIN
16,163844.0,0.0,DiffMIN,DiffMIN
17,163845.0,0.0,DiffMIN,DiffMIN
18,163846.0,0.0,DiffMIN,DiffMIN
19,163847.0,0.0,DiffMIN,DiffMIN
20,163848.0,0.0,DiffMIN,DiffMIN
21,163849.0,0.0,DiffMIN,DiffMIN
22,163850.0,0.0,DiffMIN,DiffMIN
23,163851.0,0.0,DiffMIN,DiffMIN
24,163852.0,0.0,DiffMIN,DiffMIN
25,163853.0,0.0,DiffMIN,DiffMIN
26,163854.0,0.0,DiffMIN,DiffMIN
27,163855.0,0.0,DiffMIN,DiffMIN
28,163856.0,0.0,DiffMIN,DiffMIN
29,163857.0,0.0,DiffMIN,DiffMIN
30,163858.0,0.0,DiffMIN,DiffMIN
31,163859.0,0.0,DiffMIN,DiffMIN
32,163860.0,0.0,DiffMIN,DiffMIN
33,163861.0,0.0,DiffMIN,DiffMIN
34,163862.0,0.0,DiffMIN,DiffMIN
35,163863.0,0.0,DiffMIN,DiffMIN
36,163864.0,0.0,DiffMIN,DiffMIN
37,163865.0,0.0,DiffMIN,DiffMIN
38,163866.0,0.0,DiffMIN,DiffMIN
39,163867.0,0.0,DiffMIN,DiffMIN
40,163868.0,0.0,DiffMIN,DiffMIN
41,163869.0,0.0,DiffMIN,DiffMIN
42,163870.0,0.0,DiffMIN,DiffMIN
43,163871.0,0.0,DiffMIN,DiffMIN
44,163872.0,0.0,DiffMIN,DiffMIN
45,163873.0,0.0,DiffMIN,DiffMIN
46,163874.0,0.0,DiffMIN,DiffMIN
47,163875.0,0.0,DiffMIN,DiffMIN
48,163876.0,0.0,DiffMIN,DiffMIN
49,163877.0,0.0,DiffMIN,DiffMIN
50,163878.0,0.0,DiffMIN,DiffMIN
51,163879.0,0.0,DiffMIN,DiffMIN
52,163880.0,0.0,DiffMIN,DiffMIN
53,163881.0,0.0,DiffMIN,DiffMIN
54,163882.0,0.0,DiffMIN,DiffMIN
55,163883.0,0.0,DiffMIN,DiffMIN
56,163884.0,0.0,DiffMIN,DiffMIN
57,163885.0,0.0,DiffMIN,DiffMIN
58,163886.0,0.0,DiffMIN,DiffMIN
59,163887.0,0.0,DiffMIN,DiffMIN
60,163888.0,0.0,DiffMIN,DiffMIN
61,163889.0,0.0,DiffMIN,DiffMIN
62,163890.0,0.0,DiffMIN,DiffMIN
63,163891.0,0.0,DiffMIN,DiffMIN
64,163892.0,0.0,DiffMIN,DiffMIN
65,163893.0,0.0,DiffMIN,DiffMIN
66,163894.0,0.0,DiffMIN,DiffMIN
67,163895.0,0.0,DiffMIN,DiffMIN
68,163896.0,0.0,DiffMIN,DiffMIN
69,163897.0,0.0,DiffMIN,DiffMIN
70,163898.0,0.0,DiffMIN,DiffMIN
71,163899.0,0.0,DiffMIN,DiffMIN
72,163900.0,0.0,DiffMIN,DiffMIN
73,163901.0,0.0,DiffMIN,DiffMIN
74,163902.0,0.0,DiffMIN,DiffMIN
75,163903.0,0.0,DiffMIN,DiffMIN
76,163904.0,0.0,DiffMIN,DiffMIN
77,163905.0,0.0,DiffMIN,DiffMIN
78,163906.0,0.0,DiffMIN,DiffMIN
79,163907.0,0.0,DiffMIN,DiffMIN
80,163908.0,0.0,DiffMIN,DiffMIN
81,163909.0,0.0,DiffMIN,DiffMIN
82,163910.0,0.0,DiffMIN,DiffMIN
83,163911.0,0.0,DiffMIN,DiffMIN
84,163912.0,0.0,DiffMIN,DiffMIN
85,163913.0,0.0,DiffMIN,DiffMIN
86,163914.0,0.0,DiffMIN,DiffMIN
87,163915.0,0.0,DiffMIN,DiffMIN
88,163916.0,0.0,DiffMIN,DiffMIN
89,163917.0,0.0,DiffMIN,DiffMIN
90,163918.0,0.0,DiffMIN,DiffMIN
91,163919.0,0.0,DiffMIN,DiffMIN
92,163920.0,0.0,DiffMIN,DiffMIN
93,163921.0,0.0,DiffMIN,DiffMIN
94,163922.0,0.0,DiffMIN,DiffMIN
95,163923.0,0.0,DiffMIN,DiffMIN
96,163924.0,0.0,DiffMIN,DiffMIN
97,163925.0,0.0,DiffMIN,DiffMIN
98,163926.0,0.0,DiffMIN,DiffMIN
99,163927.0,0.0,DiffMIN,DiffMIN
100,163928.0,0.0,DiffMIN,DiffMIN
101,163929.0,0.0,DiffMIN,DiffMIN
102,163930.0,0.0,DiffMIN,DiffMIN
103,163931.0,0.0,DiffMIN,DiffMIN
104,163932.0,0.0,DiffMIN,DiffMIN
105,163933.0,0.0,DiffMIN,DiffMIN
106,163934.0,0.0,DiffMIN,DiffMIN
107,163935.0,0.0,DiffMIN,DiffMIN
108,163936.0,0.0,DiffMIN,DiffMIN
109,163937.0,0.0,DiffMIN,DiffMIN
110,163938.0,0.0,DiffMIN,DiffMIN
111,163939.0,0.0,DiffMIN,DiffMIN
112,163940.0,0.0,DiffMIN,DiffMIN
113,163941.0,0.0,DiffMIN,DiffMIN
114,163942.0,0.0,DiffMIN,DiffMIN
115,163943.0,0.0,DiffMIN,DiffMIN
116,163944.0,0.0,DiffMIN,DiffMIN
117,163945.0,0.0,DiffMIN,DiffMIN
118,163946.0,0.0,DiffMIN,DiffMIN
119,163947.0,0.0,DiffMIN,DiffMIN
120,163948.0,0.0,DiffMIN,DiffMIN
121,163949.0,0.0,DiffMIN,DiffMIN
122,163950.0,0.0,DiffMIN,DiffMIN
123,163951.0,0.0,DiffMIN,DiffMIN
124,163952.0,0.0,DiffMIN,DiffMIN
125,163953.0,0.0,DiffMIN,DiffMIN
126,163954.0,0.0,DiffMIN,DiffMIN
127,163955.0,0.0,DiffMIN,DiffMIN
128,163956.0,0.0,DiffMIN,DiffMIN
129,163957.0,0.0,DiffMIN,DiffMIN
130,163958.0,0.0,DiffMIN,DiffMIN
131,163959.0,0.0,DiffMIN,DiffMIN
132,163960.0,0.0,DiffMIN,DiffMIN
133,163961.0,0.0,DiffMIN,DiffMIN
134,163962.0,0.0,DiffMIN,DiffMIN
135,163963.0,0.0,DiffMIN,DiffMIN
136,163964.0,0.0,DiffMIN,DiffMIN
137,163965.0,0.0,DiffMIN,DiffMIN
138,163966.0,0.0,DiffMIN,DiffMIN
139,163967.0,0.0,DiffMIN,DiffMIN
140,163968.0,0.0,DiffMIN,DiffMIN
141,163969.0,0.0,DiffMIN,DiffMIN
142,163970.0,0.0,DiffMIN,DiffMIN
143,163971.0,0.0,DiffMIN,DiffMIN
